Bacs;Date;Heure;Pop_Poissons;Categorie;Pmi_g;Densite_in;Niveau_eau;Temp_Bac;Taux_Oxy;pH
Bac2;J1;8H;T.N;ALEVINS;5;68.75;20;30.5;5.54;7.17
Bac2;J1;12H;T.N;ALEVINS;5;68.75;20;33.2;7.81;7.63
Bac2;J1;16H;T.N;ALEVINS;5;68.75;20;34.1;8.4;8.31
Bac2;J2;8H;T.N;ALEVINS;5;68.75;20;29.2;2.54;7.29
Bac2;J2;12H;T.N;ALEVINS;5;68.75;20;34.1;8.08;8.23
Bac2;J2;16H;T.N;ALEVINS;5;68.75;20;33.7;9.81;8.67
Bac2;J3;8H;T.N;ALEVINS;5;68.75;20;29;3;7.49
Bac2;J3;12H;T.N;ALEVINS;5;68.75;20;33.1;9.89;8.44
Bac2;J3;16H;T.N;ALEVINS;5;68.75;20;34.3;12.25;9.21
Bac2;J4;8H;T.N;ALEVINS;5;68.75;20;28.6;8.21;7.19
Bac2;J4;12H;T.N;ALEVINS;5;68.75;20;32.9;7.2;7.33
Bac2;J4;16H;T.N;ALEVINS;5;68.75;20;34.4;9.39;8.18
Bac2;J5;8H;T.N;ALEVINS;5;68.75;20;29.2;2.41;7.34
Bac2;J5;12H;T.N;ALEVINS;5;68.75;20;33.5;6.61;8.09
Bac2;J5;16H;T.N;ALEVINS;5;68.75;20;34.6;8.2;8.71
Bac2;J6;8H;T.N;ALEVINS;5;68.75;23;28.26;7.61;7.21
Bac2;J6;12H;T.N;ALEVINS;5;68.75;23;33.4;4.88;7.5
Bac2;J6;16H;T.N;ALEVINS;5;68.75;23;34.3;6.93;8.36
Bac2;J7;8H;T.N;ALEVINS;5;68.75;23;29.5;4.83;7.85
Bac2;J7;12H;T.N;ALEVINS;5;68.75;23;33.2;4.39;8.35
Bac2;J7;16H;T.N;ALEVINS;5;68.75;23;33.3;8.26;8.62
Bac2;J8;8H;T.N;ALEVINS;5;68.75;23;29.1;3.1;7.59
Bac2;J8;12H;T.N;ALEVINS;5;68.75;23;32.9;6.91;8.42
Bac2;J8;16H;T.N;ALEVINS;5;68.75;23;34.6;9;9.19
Bac2;J9;8H;T.N;ALEVINS;5;68.75;23;29.6;2.69;7.83
Bac2;J9;12H;T.N;ALEVINS;5;68.75;23;32.9;10.68;9.1
Bac2;J9;16H;T.N;ALEVINS;5;68.75;23;34.3;13.22;9.89
Bac2;J10;8H;T.N;ALEVINS;5;68.75;23;30.3;5.2;7.28
Bac2;J10;12H;T.N;ALEVINS;5;68.75;23;32.6;5.97;7.78
Bac2;J10;16H;T.N;ALEVINS;5;68.75;23;31.1;6.4;8.43
Bac2;J11;8H;T.N;ALEVINS;5;68.75;23;28.8;2.52;7.72
Bac2;J11;12H;T.N;ALEVINS;5;68.75;23;32.2;5.25;7.8
Bac2;J11;16H;T.N;ALEVINS;5;68.75;23;33.7;7.48;8.79
Bac2;J12;8H;T.N;ALEVINS;5;68.75;23;28.4;2.97;7.62
Bac2;J12;12H;T.N;ALEVINS;5;68.75;23;31;7.87;8.69
Bac2;J12;16H;T.N;ALEVINS;5;68.75;23;32.5;9.66;9.35
Bac2;J13;8H;T.N;ALEVINS;5;68.75;23;28.7;6.12;7.25
